series,model,feature,importance
PCA_NIC,RF,value_diff_lag_2,0.00695801933293249
PCA_NIC,RF,value_pct_change_lag_3,0.0003532462690352664
PCA_NIC,RF,value_diff_lag_3,0.06517998861587355
PCA_NIC,RF,value_pct_change_lag_6,0.07985544770799034
PCA_NIC,RF,value_diff_lag_6,0.0684187708587482
PCA_NIC,RF,value_pct_change_lag_12,0.07146764072384941
PCA_NIC,RF,value_diff_lag_12,0.05051675465490621
PCA_NIC,RF,value_mean_3,0.0003156990267901531
PCA_NIC,RF,value_max_3,6.418319363456893e-05
PCA_NIC,RF,value_median_3,0.00019015082076707373
PCA_NIC,RF,value_q25_3,0.0003180183050174469
PCA_NIC,RF,value_q75_3,0.0001033213495832312
PCA_NIC,RF,value_vs_mean_3,0.04861047714269754
PCA_NIC,RF,value_vs_min_6,0.044850339427198564
PCA_NIC,RF,value_vs_mean_6,0.05743910417085366
PCA_NIC,RF,value_vs_min_12,0.06335498037547838
PCA_NIC,RF,value_vs_mean_12,0.09017229287576954
PCA_NIC,RF,trend_slope_6,0.06657902977134333
PCA_NIC,RF,momentum_3,0.05918780897893385
PCA_NIC,RF,momentum_6,0.08484912198505382
PCA_NIC,RF,quarter_cat,9.273506883395286e-05
PCA_NIC,GB,quarter,0.011197018732849494
PCA_NIC,GB,value_pct_change_lag_1,0.014010924782406073
PCA_NIC,GB,value_diff_lag_1,0.08615254015075546
PCA_NIC,GB,value_pct_change_lag_2,0.03787329469212455
PCA_NIC,GB,value_diff_lag_2,0.01601642626163446
PCA_NIC,GB,value_pct_change_lag_3,0.019322728916442457
PCA_NIC,GB,value_diff_lag_3,0.03713086433933134
PCA_NIC,GB,value_pct_change_lag_6,0.036438636851196755
PCA_NIC,GB,value_diff_lag_6,0.05165711560486233
PCA_NIC,GB,value_pct_change_lag_12,0.057639148628697214
PCA_NIC,GB,value_diff_lag_12,0.005744575120421271
PCA_NIC,GB,value_mean_3,0.015396489085161544
PCA_NIC,GB,value_max_3,0.0454522602714291
PCA_NIC,GB,value_median_3,0.02809824311719481
PCA_NIC,GB,value_q25_3,0.038699927188826665
PCA_NIC,GB,value_q75_3,0.027524779221763083
PCA_NIC,GB,value_vs_mean_3,0.06425766866184675
PCA_NIC,GB,value_vs_min_6,0.003507761879985806
PCA_NIC,GB,value_vs_mean_6,0.13833742466957702
PCA_NIC,GB,value_vs_min_12,0.06877132010719884
PCA_NIC,GB,value_vs_mean_12,0.0814087458071928
PCA_NIC,GB,trend_slope_6,0.015601663168644779
PCA_NIC,GB,momentum_3,0.035501894292174166
PCA_NIC,GB,momentum_6,0.033839135695563544
PCA_NIC,GB,quarter_cat,0.030419412752719678
PCA_NIC,ET,quarter,0.0016087257463471105
PCA_NIC,ET,value_pct_change_lag_1,0.0638102707684101
PCA_NIC,ET,value_diff_lag_1,0.06737320523909152
PCA_NIC,ET,value_pct_change_lag_2,0.01657358332649229
PCA_NIC,ET,value_diff_lag_2,0.020602499910494742
PCA_NIC,ET,value_pct_change_lag_3,0.0005222584212192262
PCA_NIC,ET,value_diff_lag_3,0.01497068080823477
PCA_NIC,ET,value_pct_change_lag_6,0.07442639858902104
PCA_NIC,ET,value_diff_lag_6,0.06269689833493204
PCA_NIC,ET,value_pct_change_lag_12,0.09363884928710783
PCA_NIC,ET,value_diff_lag_12,0.0654074538288528
PCA_NIC,ET,value_mean_3,0.0013777911009876965
PCA_NIC,ET,value_max_3,0.0
PCA_NIC,ET,value_median_3,0.003702542436496499
